ID;income;age;gender;education_level
26621;69256.65000603875;42;F;3.0
85300;69254.7718182115;50;F;3.0
99888;69212.46084903291;25;F;3.0
55218;69202.98396439059;63;F;2.0
24151;69147.05069799296;55;M;3.0
79958;69127.6167395206;55;F;0.0
22516;69124.70074474515;63;F;2.0
57127;69102.66718019987;47;M;3.0
82646;69096.91759211749;26;M;1.0
1247;69093.49245857596;59;M;3.0
41192;69085.30959071076;26;F;1.0
38440;69082.03188900351;42;F;3.0
55039;69049.46504476595;29;F;3.0
34995;69041.5433551026;50;M;2.0
59366;69038.02155137176;38;M;3.0
87226;69035.22443853997;54;M;1.0
86060;69018.913409505;28;F;2.0
55017;68999.73117219303;40;M;3.0
13973;68996.73180560942;34;M;2.0
46597;68991.32256067246;25;F;3.0
86012;68956.43379273282;24;M;2.0
28144;68933.52479354979;64;F;2.0
74452;68918.61216832104;63;F;3.0
38892;68892.05317935714;63;F;1.0
72577;68892.04257905854;41;F;2.0
6110;68890.60575577729;57;F;2.0
410;68882.477365525;53;M;2.0
67188;68882.17287255655;43;M;1.0
86254;68874.472020028;38;M;3.0
2290;68835.80393682446;40;M;2.0
77058;68819.79652920675;20;F;1.0
11568;68808.85185591348;64;M;1.0
58572;68740.06201720593;53;M;3.0
7112;68702.57039389746;46;M;2.0
87175;68695.33465388192;38;M;0.0
54333;68667.9349050014;60;F;3.0
39238;68659.45610797641;61;M;1.0
699;68644.74844761258;46;F;2.0
27057;68628.03966677934;42;F;2.0
41633;68626.26670062935;23;M;3.0
25244;68611.22932310328;52;F;2.0
17810;68604.60262942815;31;F;2.0
63263;68595.50106039741;31;F;2.0
50245;68586.85136483803;61;M;1.0
79601;68580.27217687422;51;M;1.0
49957;68576.89361825038;47;F;3.0
38145;68575.3387081178;27;F;3.0
71939;68575.2983379474;37;M;2.0
36070;91281.32708784459;42;M;2.0
59959;68557.73242100669;53;F;3.0
19226;68516.55567640187;36;F;2.0
83806;68506.22601311223;48;M;3.0
94266;68481.00061045104;32;M;1.0
44230;68466.77450224475;51;F;2.0
43912;68452.46603835427;52;M;2.0
82206;68441.34698684738;27;F;2.0
86661;68408.45839233256;38;F;0.0
54721;68406.78919313928;33;F;0.0
42297;68376.09574466963;51;F;3.0
45747;68371.34235607348;60;F;2.0
13763;68347.33295054604;44;F;2.0
91855;68325.1001955236;47;M;2.0
79208;68323.72457301825;34;M;2.0
33191;68320.41732657513;36;M;3.0
52963;68308.49495030382;37;M;1.0
13531;68295.0693837654;47;M;3.0
1617;68240.81670225353;29;F;3.0
29449;68225.55230066556;36;F;1.0
80383;68224.39786951564;53;F;3.0
27987;68218.60413487285;20;M;3.0
61517;68212.77875228004;29;M;3.0
32349;68195.13336629;32;M;3.0
79192;68182.97180080597;32;M;1.0
64802;68182.57621616268;44;M;0.0
7854;68163.8418557391;38;F;1.0
40567;68114.78195385888;29;M;1.0
44989;68098.89631788754;41;M;1.0
18603;68094.7522678824;56;M;2.0
14534;68089.79793626163;58;M;1.0
78782;68076.87864548783;40;F;3.0
29107;68024.01857712609;29;M;3.0
64205;67990.15678522704;53;M;1.0
88441;67964.11535937294;43;M;1.0
89452;94079.69446476543;43;M;3.0
22298;67922.57205887878;50;F;1.0
22843;67905.61170022388;25;F;2.0
26187;67892.81530921128;63;F;3.0
47972;67890.25415792485;38;F;2.0
81229;67888.44048128207;57;M;2.0
36984;67887.14637439528;47;M;2.0
294;67850.09667748607;38;F;1.0
60237;67840.50112292051;35;M;1.0
90758;67824.06454058601;64;F;2.0
90856;67808.34359462539;50;F;2.0
32841;67800.13963982726;60;F;2.0
959;67777.8074215352;37;F;1.0
68492;67776.8108233227;40;F;2.0
15866;67773.11925762193;52;F;0.0
76787;67759.70044401237;41;M;1.0
86460;67758.30468725407;42;M;1.0
75658;67740.25991820513;49;F;3.0
42360;67732.76168772645;32;M;2.0
12454;67726.68021063037;64;M;2.0
26955;67697.9054682763;58;F;3.0
58552;67672.1104078001;28;M;2.0
47496;67671.59847055677;59;F;3.0
67384;67640.73890928089;41;M;3.0
3601;67636.93354157989;42;M;3.0
60514;67636.82610840106;52;F;3.0
99130;67589.59171668044;35;M;3.0
54378;67584.4540102288;35;M;2.0
83946;67573.09604606876;25;F;1.0
57913;67559.7430579034;47;M;1.0
20585;67558.39290622628;42;M;1.0
97720;67534.94893139625;50;F;3.0
87705;90038.25753822393;40;F;2.0
20453;67522.34563161177;37;F;3.0
20379;67518.70585335244;62;F;1.0
90542;67498.17343261963;40;M;2.0
19363;67476.2160569141;32;F;2.0
13937;67464.64031126465;49;M;3.0
88836;67463.32705130271;58;M;2.0
52713;67461.93276670235;26;M;2.0
7906;67461.83695869533;62;F;2.0
6668;67445.09430515139;46;M;3.0
35259;67444.62327090642;34;M;2.0
85047;67438.42323246959;42;M;3.0
83216;67411.94561777361;37;M;1.0
27123;67399.5511933908;47;F;3.0
76773;67391.35536254656;23;M;3.0
36302;67378.5242665323;43;F;3.0
76513;67355.21632422516;47;M;3.0
55290;67337.32059914403;56;F;3.0
43101;67336.69796934209;44;M;2.0
5654;67324.04854716278;28;F;2.0
46426;67317.65125396536;26;M;2.0
99716;67310.57900647604;27;M;2.0
34399;67308.81768255049;62;M;1.0
63673;67307.95198083259;37;F;3.0
33750;67306.68465377347;55;M;2.0
97453;67301.08890549895;45;M;1.0
40294;67299.94024426566;36;F;1.0
51590;67296.77380155453;57;F;3.0
4871;67284.87561105654;50;M;2.0
55448;67281.09129801941;37;F;3.0
33619;67277.6358695841;32;F;1.0
32049;67240.3459450809;60;F;1.0
40258;67231.67974536342;32;M;3.0
78763;67226.34245608152;27;F;3.0
99954;67217.90433638068;62;M;0.0
15731;67185.59360607169;56;F;2.0
68396;91511.17947943269;49;M;3.0
41248;67144.05989989782;35;F;3.0
8414;67139.04886944953;62;F;2.0
21525;67128.15161952008;25;M;1.0
31277;67122.91622745142;33;M;2.0
60565;67118.37796561533;45;M;3.0
89078;67117.01007606609;25;M;3.0
52422;67109.38214410978;53;F;2.0
82830;67105.69248679862;57;M;3.0
0;67068.49839399938;34;M;3.0
66521;67045.96766441845;43;F;2.0
53023;67040.18661897395;58;M;2.0
90874;67015.38921849776;32;F;1.0
73078;66996.84202894408;31;M;1.0
66354;66994.39086688864;41;M;3.0
64671;66990.12431234;61;M;1.0
3467;66988.52830730553;60;F;1.0
36283;66979.56534635178;27;F;1.0
22208;66941.879651534;32;F;3.0
20213;66936.96465542479;50;M;1.0
49000;66918.78941955877;40;M;2.0
49271;66907.63502934654;63;F;3.0
8467;66907.03444986322;64;F;2.0
31068;66906.5133466057;32;M;0.0
94694;66904.91241883814;41;F;2.0
20751;66898.85708616796;61;M;1.0
68599;66881.83432708203;47;F;2.0
40180;66828.24111191292;40;M;2.0
80361;66823.0687399353;59;F;2.0
30563;66822.25522573467;57;F;2.0
72359;66814.25384121362;30;F;3.0
17211;66807.88974231407;40;M;1.0
88248;66800.67536790618;30;M;3.0
75587;66771.45606721815;42;F;3.0
29319;66765.55687595835;54;M;3.0
13847;66762.33801675681;25;M;1.0
89085;66745.90749540867;35;F;2.0
89539;66723.90909452601;41;M;1.0
88054;66722.71959925415;30;F;3.0
3008;66710.08003019233;53;M;1.0
38155;66705.31654641397;32;M;2.0
55821;66702.49640394893;60;M;3.0
88276;66678.42855727006;60;M;1.0
79774;66668.24342562363;38;M;2.0
41731;66650.97396466724;51;F;2.0
68390;66650.94938355443;42;M;1.0
57934;66640.28972728932;46;M;3.0
2889;66638.0772820192;53;M;1.0
93250;66604.69107422607;64;M;2.0
34594;66558.512140765;55;F;0.0
80722;66554.95151975502;43;F;2.0
75371;66546.6002395014;64;M;2.0
48909;66545.0450869844;37;M;3.0
46993;66538.78532211747;49;F;3.0
54570;66530.36913153429;42;M;2.0
2222;66511.33271606707;47;F;2.0
62625;66490.89330224879;26;F;0.0
59331;66471.7282869798;61;F;3.0
63653;66470.69015870418;45;F;3.0
52070;66463.14111806355;35;M;3.0
79447;66432.90963071129;25;F;2.0
2278;66428.4624590636;39;M;3.0
69836;66415.59507930283;44;M;1.0
3540;66413.25380186178;45;F;1.0
6436;66408.66254598391;64;F;1.0
79724;66399.37437312497;61;M;2.0
21447;66398.14116441285;32;M;3.0
83194;66398.06518006691;23;M;3.0
58734;66387.98011527066;48;M;2.0
28004;66384.15465794162;53;F;1.0
58240;66378.63008315627;57;F;1.0
45613;66369.90005179554;25;F;3.0
25945;66356.34055475403;57;F;3.0
53021;66354.16877664797;31;F;3.0
8621;66341.83270702836;44;F;1.0
60381;66333.21577174982;42;F;3.0
42940;81806.81955406966;41;F;2.0
92235;66314.05347741688;55;M;0.0
82421;66310.61479592668;53;M;3.0
85004;66300.71904684675;48;F;2.0
23372;66290.46450950915;39;M;3.0
1861;66284.90800685075;54;F;3.0
74010;66281.93595367584;53;M;3.0
27114;66280.92237724687;63;F;2.0
46907;66274.61892344063;32;F;1.0
71350;66273.28020112656;56;M;2.0
7446;66251.28535720953;50;M;1.0
12324;66246.70779802513;38;M;3.0
85887;66239.52242685627;53;M;3.0
37415;66239.43723696275;39;M;2.0
30892;66239.0670965443;36;M;3.0
7690;66225.54339852202;43;F;1.0
89115;66207.1271272311;21;F;2.0
454;66196.67623589987;60;M;3.0
26689;66190.3402267011;42;F;3.0
61350;66183.4628346773;54;F;1.0
97741;66182.6231951508;54;M;2.0
38770;66180.95979224335;31;F;3.0
88403;66180.73053286222;38;M;3.0
83417;66170.83153586488;40;F;2.0
98380;66167.85216427298;40;F;2.0
9680;66161.15865590717;34;F;1.0
20371;66156.94073513523;51;F;1.0
65743;66135.39918185316;27;M;3.0
71796;66108.31339416861;32;F;1.0
45511;66103.00064248334;43;M;2.0
54429;66092.0363217833;61;F;1.0
28453;66091.80037684378;20;F;3.0
27181;66083.0113888986;30;F;1.0
83406;66075.6221721351;30;M;2.0
49448;66070.83884314475;29;M;2.0
49185;66070.54222742197;30;F;3.0
28753;66064.6727918554;30;F;3.0
9698;66062.99517573287;41;F;3.0
88831;66062.85730272709;33;M;3.0
18;66059.6727979128;42;F;0.0
93887;66052.26974817393;38;M;3.0
87444;66046.49075391711;60;F;3.0
39198;66034.33826819263;59;M;3.0
40082;66023.96355068314;42;M;1.0
88545;66019.21437186548;42;M;3.0
58399;66015.32682113531;40;F;1.0
352;66012.40093250226;38;M;0.0
11880;66011.17869443643;33;F;3.0
75358;65998.54306310893;56;F;3.0
2310;65991.03314833253;39;F;2.0
97582;65986.96609456999;62;M;3.0
94353;65984.16124035303;38;F;2.0
4182;65982.64615701506;40;F;3.0
82847;65971.70952819282;41;M;1.0
77398;65969.0767127885;35;F;3.0
32085;65969.00319309683;38;F;1.0
82610;65963.13133128957;31;F;0.0
3625;65953.81843877099;28;F;1.0
97316;65945.12020457444;63;F;2.0
53808;65932.59186616048;27;F;3.0
10778;65920.7781337074;58;F;2.0
72878;65909.51534135497;50;M;3.0
93727;65904.43125713119;39;F;1.0
32431;65904.13561240569;48;M;3.0
80591;65901.00017722626;53;F;2.0
23819;65893.3378195434;43;M;3.0
17546;65873.85692114849;40;F;3.0
1878;65865.24629591737;27;M;2.0
50474;65850.75381366524;39;M;2.0
54692;65850.45631151172;48;F;3.0
80230;65847.19563425392;25;F;2.0
96360;65842.40939309137;21;F;1.0
5240;65841.90231716292;60;F;2.0
96294;65823.99375238252;53;F;2.0
30346;65819.08288675873;33;F;2.0
88143;65805.43873132186;36;M;1.0
26643;65800.44858278909;28;M;0.0
21082;65798.58225280164;26;F;3.0
46535;65783.48733360002;27;M;3.0
1701;65777.17448959748;44;M;3.0
65036;65767.39208981169;18;M;3.0
84246;65754.21711168037;23;M;1.0
11172;65752.20991433175;41;F;3.0
94928;65739.93683489603;22;F;2.0
50152;65724.4051702992;58;M;1.0
31410;65723.72351737916;55;M;1.0
6967;65717.60519258375;37;F;3.0
5715;65707.38544060195;25;F;1.0
31256;65702.13492255301;49;M;1.0
8841;65686.59278264636;40;M;3.0
93935;65671.53468116996;43;F;3.0
81486;65670.17014758603;32;M;2.0
15646;65667.55224757559;52;M;1.0
32534;65666.70355089578;37;M;3.0
12063;65666.33018125885;35;F;3.0
4927;65664.61416495735;33;F;3.0
53709;65653.44975964804;59;M;2.0
98211;65642.95623297855;38;M;1.0
46839;65619.80896632052;64;M;3.0
13135;65616.896459285;29;M;1.0
57660;65591.45942162337;57;F;1.0
27642;65588.7260034999;28;F;2.0
92416;65584.57313547979;50;F;2.0
4296;65583.77171711565;25;M;3.0
59989;65574.93120585152;33;F;2.0
18637;65572.47514927943;23;F;1.0
47842;65569.47697921628;60;F;3.0
25018;65569.23897512323;52;M;1.0
93143;65558.30126429317;38;F;1.0
73421;65548.805378572;55;M;3.0
78405;65543.11879863427;43;F;2.0
99745;65539.0086780895;40;M;3.0
68124;65531.86002758405;54;M;1.0
91254;65520.28282436762;20;F;2.0
34006;65517.35478413908;35;F;2.0
26238;65513.263857322796;59;M;2.0
93310;65504.98234271798;59;F;1.0
77926;65500.63959131086;51;M;3.0
63189;65495.8080089171;62;M;2.0
50963;65462.313073917;47;M;2.0
79667;65456.08793418735;34;M;0.0
75095;65450.47830417447;30;M;1.0
57920;65436.14616690847;25;M;2.0
65960;65425.88197088539;43;F;2.0
27323;65421.863427095566;61;M;3.0
77605;65420.69720156411;37;M;2.0
25312;65416.06107569329;55;M;1.0
30842;65409.69264054833;54;F;3.0
32405;65399.597948887786;44;M;2.0
91422;65397.06101763749;25;M;2.0
28681;65389.20536692103;42;M;1.0
37446;65388.71599564591;35;M;1.0
67006;65374.40190054474;59;F;3.0
38741;65361.89809972762;42;M;0.0
26974;65361.77757591955;44;M;2.0
5983;65358.384889248904;44;F;3.0
61030;65345.59467921533;40;M;2.0
86444;65339.77993503411;59;F;1.0
70498;65334.288615265395;43;F;1.0
1714;65334.07398316939;64;F;2.0
98869;65312.00839974375;37;M;2.0
6704;65297.4718645525;59;F;0.0
59393;65295.2822429016;40;F;2.0
86171;65282.26386651205;45;M;1.0
55018;65281.05320799045;46;M;3.0
78829;65273.87075532967;37;F;3.0
75130;65265.62523742209;39;F;2.0
41371;65262.9485648711;55;M;3.0
85607;65259.95478805717;47;F;2.0
22812;65253.95836554436;45;F;3.0
69413;65253.270835465766;44;F;2.0
70898;65252.994023354644;55;M;1.0
99488;65248.01296248716;44;M;3.0
79506;65247.456923310674;36;F;2.0
3784;65246.16732341287;32;F;3.0
64239;65230.01809128416;57;M;0.0
95994;65224.87414133096;63;M;2.0
90274;65224.838456051555;40;M;3.0
70950;65223.56131839228;36;M;3.0
22401;65202.994255113255;28;F;0.0
17771;65199.805870754004;32;M;1.0
99304;76519.23016596369;45;M;1.0
3238;65190.46728811848;37;M;1.0
29980;65189.7797134839;50;F;2.0
61250;65175.60621082748;50;F;3.0
27716;65173.29007054508;42;F;1.0
61219;65170.204562760184;40;F;1.0
69294;65159.51841848948;64;M;1.0
67172;65150.467123701164;39;F;2.0
6000;65148.38942683226;42;F;2.0
25207;65147.909099432516;57;F;1.0
56534;65142.345829202895;44;F;1.0
47193;65134.49556029985;40;M;3.0
35378;65127.02057502628;44;M;1.0
60298;65122.77930529784;60;F;2.0
20243;65122.29307624496;54;F;2.0
48197;65120.3013110919;27;M;2.0
4171;65112.81307468505;57;M;3.0
45525;65112.30334276977;47;F;2.0
29758;65109.85789056753;43;M;3.0
7080;65107.48142682614;57;M;0.0
35922;65105.681537275435;29;F;3.0
12963;65093.720160465484;62;F;2.0
3047;65082.122674926584;46;M;1.0
13506;65077.803196592766;19;M;1.0
65262;65065.080809646126;49;M;1.0
85115;65060.92298027697;28;M;1.0
94629;65049.14007819178;50;M;3.0
96381;65048.09926660842;53;F;3.0
662;65033.820101314566;21;M;2.0
68439;65023.741817860755;29;F;2.0
89632;65019.75382482966;46;F;3.0
59633;65019.36355146767;25;M;1.0
76711;65009.407552871395;46;M;1.0
21478;65008.17688280594;44;M;3.0
50874;64990.101496495954;56;F;2.0
4421;64982.31396940857;56;M;3.0
60574;64974.86764177196;28;F;3.0
2235;64966.744005417;44;M;2.0
54644;64966.17465027195;58;M;3.0
96413;64963.49910511659;52;M;2.0
33770;64955.355734975994;49;M;2.0
21656;64952.78681840407;62;F;2.0
41466;64940.76859279159;40;F;3.0
187;64939.901857520555;30;M;3.0
78165;64938.90952164648;31;F;3.0
80429;64912.962194240645;62;M;2.0
69260;64906.40028020898;40;F;2.0
73889;64906.32359377787;63;F;1.0
77735;64893.679902503;32;M;1.0
24279;64882.99583539771;56;F;3.0
84457;64881.9731773185;59;M;3.0
14672;64881.62625583533;49;F;1.0
34491;64877.030516560924;30;M;3.0
2226;64875.0204818333;40;F;3.0
85952;64872.036041321;56;F;3.0
17500;64870.58377577233;26;M;3.0
21445;64870.00883273623;42;M;2.0
19317;64853.21350100252;59;F;0.0
14023;64849.078289260244;55;F;2.0
93998;64841.231865118854;25;F;3.0
10998;64835.86875722943;50;M;3.0
76131;64828.47799353428;44;F;3.0
87727;64826.35073037214;35;M;1.0
25398;64812.93537210656;35;F;2.0
54379;64807.20398071008;63;F;0.0
71907;64797.84284416495;54;F;3.0
67514;64790.89848635593;61;M;2.0
62630;64786.351669926546;18;F;2.0
59399;64784.40099864896;27;M;1.0
64179;64783.60784027203;27;M;2.0
99348;64783.20249722191;54;M;1.0
61770;64778.46687727365;43;F;2.0
91823;64766.53364056327;34;F;1.0
31602;64755.31276310989;42;F;1.0
81914;64737.450370445105;64;M;1.0
33731;64732.19970960278;21;F;2.0
1270;64731.17781704072;64;M;3.0
71090;64726.92095294234;56;F;2.0
39548;64719.13387525269;34;F;2.0
89713;64715.16887210314;29;F;1.0
26048;64714.17089550543;25;M;1.0
99555;64705.947203654156;54;M;2.0
18003;64704.87299345578;39;F;0.0
72469;64701.59518250801;34;M;2.0
69905;64699.18762001577;62;F;0.0
40742;64697.13453114659;55;M;3.0
98666;64689.12399344063;47;F;2.0
10882;64687.69871575712;30;M;2.0
30470;64682.46418405841;54;M;3.0
62542;64680.3895988617;42;F;2.0
45599;64680.37985235565;32;F;3.0
11401;64678.28244976055;53;F;1.0
94922;64673.68386566487;55;F;2.0
41500;64672.3064328219;38;F;2.0
3405;64671.95771567322;28;F;3.0
15717;64665.12677588122;42;M;2.0
25754;64664.88507432067;61;F;1.0
39251;64663.60460140722;60;F;3.0
83000;64662.316693204004;31;M;2.0
41075;64661.598683135046;22;M;3.0
93045;64658.94351304851;34;M;0.0
61146;64650.52509566486;35;F;1.0
92666;64644.297236390485;38;F;0.0
42848;64644.00544812242;31;F;3.0
97025;64641.47918712176;31;F;3.0
99531;64633.27866146703;18;M;2.0
66856;64630.756545205004;25;M;3.0
51803;64626.25152429371;61;F;1.0
40371;64615.78800225185;41;F;1.0
72614;64614.60158554475;58;M;3.0
78516;64613.52534300761;41;F;1.0
49482;64604.87206961551;54;M;3.0
43119;64591.31229985895;36;M;0.0
97899;64578.16231943191;52;M;2.0
70367;64575.62302297258;45;F;1.0
42184;64569.4692470017;43;M;1.0
31963;64564.10903032562;62;M;1.0
23467;64556.512015444896;62;F;3.0
72148;64555.331508601244;37;M;2.0
94605;64550.10923103552;52;M;3.0
32729;64543.12098395707;34;F;3.0
25283;64540.904473108356;18;M;1.0
11306;64540.689794020465;25;F;2.0
64071;64540.59710634462;41;F;1.0
22759;64540.487773553665;52;M;3.0
45182;64537.923456672914;64;M;3.0
90462;64530.108023750334;44;M;2.0
23861;64523.50126173247;52;F;3.0
83570;64519.51423198082;47;F;3.0
90138;64516.681788490976;18;F;3.0
94533;64511.501133871745;38;M;2.0
46282;64509.98646815409;34;M;3.0
5656;64501.864991928094;63;F;1.0
9414;64492.0083182036;47;M;1.0
92156;64491.52045560072;41;M;3.0
23141;64488.850338925295;23;M;1.0
99532;64488.548401590924;51;M;3.0
91625;64488.4900905675;44;M;3.0
55838;64487.61600586283;40;M;1.0
66554;64486.7094237887;52;F;3.0
95846;64473.89238439385;21;M;3.0
916;64462.86179020611;35;F;2.0
51536;64457.24928850964;18;F;1.0
46482;64447.75001564178;29;M;1.0
46580;64446.57004971882;39;M;2.0
36402;64444.22339286682;32;M;1.0
66255;64441.535063859264;58;F;0.0
36211;64440.44543693223;39;M;2.0
22724;64439.34804874534;34;F;2.0
36842;64438.554551847;28;M;1.0
72899;64425.13432054493;46;M;1.0
